Name,Release Date,Number of Reviews,Summary,Plays,Playing,ratio_confiance,Score,Genre,Platform,Date
Castle Crashers,2008-08-27,487.0,"This four player RPG adventure will let you hack, slash, and smash your way to victory. Featuring hand-drawn characters, Castle Crashers delivers unique hi-res illustrated visuals and intense gameplay action. Play with up to three friends and discover mind-boggling magic and mystery in the amazing world created just for you!",9.4K,94,0.5651269044890783,4.3,"Adventure,RPG,Brawler,Indie",PS3,2008
Castle Crashers,2008-08-27,487.0,"This four player RPG adventure will let you hack, slash, and smash your way to victory. Featuring hand-drawn characters, Castle Crashers delivers unique hi-res illustrated visuals and intense gameplay action. Play with up to three friends and discover mind-boggling magic and mystery in the amazing world created just for you!",9.4K,94,0.5651269044890783,4.3,"Adventure,RPG,Brawler,Indie",X360,2008
LEGO Harry Potter: Years 1-4,2010-06-25,349.0,"Experience the magic of Harry Potter's first 4 years at Hogwarts School of Witchcraft and Wizardry in an exciting new way. LEGO Harry Potter: Years 1-4 combines the first four Harry Potter books and films in an interactive fun-filled videogame. Players can build the adventure from Privet Drive to the Triwizard Tournament through new LEGO gameplay elements like magical building and spell-casting.


              Select from over 100 playable characters including Harry Potter, Ron Weasley and Hermione Granger. Experience the wonder of Hogwarts: attend lessons, mix potions, fly on broomsticks, and complete tasks to collect LEGO studs and relive the adventures like never before with tongue-in-cheek humor and creative customization unique to LEGO videogames.",4.1K,53,0.4049882744695859,2.9,"Adventure,Platform,Puzzle",PC,2010
LEGO Harry Potter: Years 1-4,2010-06-25,349.0,"Experience the magic of Harry Potter's first 4 years at Hogwarts School of Witchcraft and Wizardry in an exciting new way. LEGO Harry Potter: Years 1-4 combines the first four Harry Potter books and films in an interactive fun-filled videogame. Players can build the adventure from Privet Drive to the Triwizard Tournament through new LEGO gameplay elements like magical building and spell-casting.


              Select from over 100 playable characters including Harry Potter, Ron Weasley and Hermione Granger. Experience the wonder of Hogwarts: attend lessons, mix potions, fly on broomsticks, and complete tasks to collect LEGO studs and relive the adventures like never before with tongue-in-cheek humor and creative customization unique to LEGO videogames.",4.1K,53,0.4049882744695859,2.9,"Adventure,Platform,Puzzle",PS3,2010
LEGO Harry Potter: Years 1-4,2010-06-25,349.0,"Experience the magic of Harry Potter's first 4 years at Hogwarts School of Witchcraft and Wizardry in an exciting new way. LEGO Harry Potter: Years 1-4 combines the first four Harry Potter books and films in an interactive fun-filled videogame. Players can build the adventure from Privet Drive to the Triwizard Tournament through new LEGO gameplay elements like magical building and spell-casting.


              Select from over 100 playable characters including Harry Potter, Ron Weasley and Hermione Granger. Experience the wonder of Hogwarts: attend lessons, mix potions, fly on broomsticks, and complete tasks to collect LEGO studs and relive the adventures like never before with tongue-in-cheek humor and creative customization unique to LEGO videogames.",4.1K,53,0.4049882744695859,2.9,"Adventure,Platform,Puzzle",WII,2010
Metal Gear Solid: Peace Walker,2010-04-29,498.0,"Metal Gear Solid: Peace Walker is an action-adventure stealth video game and is the third action-based Metal Gear title made specifically for the PSP. The gameplay consists of two primary modes: Mission and Mother Base. Mission are the actual action sequences of the game where the player must infiltrate an enemy territory or fight a boss, whereas Mother Base is an army management. Some changes have been made to the standard Metal Gear formula: the player is now unable to move or shoot while laying down and while pinned to a wall, making Peace Walker the first game since Metal Gear to lack any crawling ability.",4K,68,0.5778915778964292,4.6,"Strategy,Shooter",PSP,2010
Alpha Protocol,2010-05-28,170.0,"A talented young agent cast out by his government, Thorton is the only one with the information needed to stop an impending international catastrophe. To do so means he must cut himself off from the very people he is sworn to protect. As players determine how to accomplish different objectives, the decisions made and actions taken in each mission will ultimately transform the type of secret agent Michael Thorton will become. Every choice the player makes as Michael Thorton will carry consequences for his future and the fate of the world.",987,9,0.1972722253863312,1.2,"RPG,Shooter",PC,2010
Alpha Protocol,2010-05-28,170.0,"A talented young agent cast out by his government, Thorton is the only one with the information needed to stop an impending international catastrophe. To do so means he must cut himself off from the very people he is sworn to protect. As players determine how to accomplish different objectives, the decisions made and actions taken in each mission will ultimately transform the type of secret agent Michael Thorton will become. Every choice the player makes as Michael Thorton will carry consequences for his future and the fate of the world.",987,9,0.1972722253863312,1.2,"RPG,Shooter",X360,2010
Alpha Protocol,2010-05-28,170.0,"A talented young agent cast out by his government, Thorton is the only one with the information needed to stop an impending international catastrophe. To do so means he must cut himself off from the very people he is sworn to protect. As players determine how to accomplish different objectives, the decisions made and actions taken in each mission will ultimately transform the type of secret agent Michael Thorton will become. Every choice the player makes as Michael Thorton will carry consequences for his future and the fate of the world.",987,9,0.1972722253863312,1.2,"RPG,Shooter",PS3,2010
Bit.Trip Runner,2010-05-14,58.0,"Bit.Trip Runner is the fastest, most exhilarating music/ rhythm-platformer to hit Steam! Race across the Moon, kicking down crystal walls and sliding under chomping moon-slugs! Bound through the Robotic Mines and face off against the MinerMech! Dash through the Big City on a quest to find friends and defeat the final boss together!",1.2K,7,0.0673046416023953,0.5,"Indie,Platform,Music,Arcade",WII,2010
Super Mario Galaxy 2,2010-05-23,1800.0,"Super Mario Galaxy 2 is the sequel to Super Mario Galaxy and the fourth 3D platformer entry in the Mario franchise. The sequel retains many elements from its predecessor, such as the adventure being in outer space, the element of gravity, and recurring objects such as Launch Stars and Sling Stars. Returning items include the Bee Mushroom and the Fire Flower. However, the game introduces new elements as well, such as the utilization of Yoshi, new power-ups like the Cloud Flower, and the use of a guide within the game for beginner players.",13K,123,1.0,4.8,"Adventure,Platform",WII,2010
Red Dead Redemption,2010-05-18,1500.0,"A modern-day Western epic, Red Dead Redemption takes John Marston, a relic from the fast-closing time of the gunslinger, through an open-world filled with wildlife, mini games and shootouts. Marston sets out to hunt down his old gang mates for the government, who have taken away his family, and meets many characters emblematic of the Wild West, heroism and the new civilization along his journey.",13K,218,1.0,8.7,"Adventure,RPG,Shooter",PS3,2010
Red Dead Redemption,2010-05-18,1500.0,"A modern-day Western epic, Red Dead Redemption takes John Marston, a relic from the fast-closing time of the gunslinger, through an open-world filled with wildlife, mini games and shootouts. Marston sets out to hunt down his old gang mates for the government, who have taken away his family, and meets many characters emblematic of the Wild West, heroism and the new civilization along his journey.",13K,218,1.0,8.7,"Adventure,RPG,Shooter",X360,2010
Skate 3,2010-05-11,318.0,"Skate 3 features an all-new co-op mode where teammates can complete challenges together while advancing each other’s careers. From rewarding epic bails and fails with a beefed up Hall of Meat mode to honing your craft with the all-new skate.School, players of all skill levels have multiple ways to “kill it” in the game. The franchise also continues to raise the bar for user created content with the skate.Create feature suite, an innovative toolset that empowers gamers to truly express their skate style by creating their own graphics, videos, and skate parks.",4.1K,44,0.3690151039579608,2.8,Sport,X360,2010
Skate 3,2010-05-11,318.0,"Skate 3 features an all-new co-op mode where teammates can complete challenges together while advancing each other’s careers. From rewarding epic bails and fails with a beefed up Hall of Meat mode to honing your craft with the all-new skate.School, players of all skill levels have multiple ways to “kill it” in the game. The franchise also continues to raise the bar for user created content with the skate.Create feature suite, an innovative toolset that empowers gamers to truly express their skate style by creating their own graphics, videos, and skate parks.",4.1K,44,0.3690151039579608,2.8,Sport,PS3,2010
Mount & Blade: Warband,2010-03-31,168.0,"In a land torn asunder by incessant warfare, it is time to assemble your own band of hardened warriors and enter the fray. Lead your men into battle, expand your realm, and claim the ultimate prize: the throne of Calradia!",2.4K,39,0.1949513756759038,1.4,"Adventure,RPG,Simulator,Strategy,Shooter",PC,2010
Deadly Premonition,2010-02-23,431.0,"Playing as special agent Francis York Morgan (call him York – everyone else does), it’s your job to investigate the brutal murder of a young local beauty in the town of Greenvale. Amidst the backdrop of soaring mountains and a small American suburb, York must solve the mystery of the Red Seed Murders and stay alive in a place where supernatural creatures and a mysterious raincoat-clad, axe-wielding killer seek to end his investigation for good.


              Part suspense-filled horror, part action-adventure game, Deadly Premonition offers an open-world experience packed with locals to meet and places to discover, as well as numerous side quests and mini-games that will help you solve the murders and uncover Greenvale’s deepest, darkest secrets.",1.4K,48,0.5001431125971104,3.7,"Adventure,Shooter",X360,2010
Just Cause 2,2010-03-23,302.0,"In a lawless open-world paradise, use whatever means necessary to achieve your objective. Use land, sea and air to your advantage and use a wide range of weaponry to cause as much chaos as possible.",5.1K,36,0.3504483062745414,2.5,"Adventure,Shooter,Racing",PS3,2010
Just Cause 2,2010-03-23,302.0,"In a lawless open-world paradise, use whatever means necessary to achieve your objective. Use land, sea and air to your advantage and use a wide range of weaponry to cause as much chaos as possible.",5.1K,36,0.3504483062745414,2.5,"Adventure,Shooter,Racing",X360,2010
Just Cause 2,2010-03-23,302.0,"In a lawless open-world paradise, use whatever means necessary to achieve your objective. Use land, sea and air to your advantage and use a wide range of weaponry to cause as much chaos as possible.",5.1K,36,0.3504483062745414,2.5,"Adventure,Shooter,Racing",PC,2010
Metro 2033,2010-03-16,328.0,"Metro 2033 is a first-person shooter with survival horror elements, based on the Russian book of the same name by Dmitry Glukhovsky. Most of the game takes place underground, but several times Artyom will have to venture outside, into the perpetual nuclear winter. Game progression is fairly linear, though areas may be explored more thoroughly for items and ammunition. Setpieces include a few on-rails sequences, missions that involve defending a location from an onslaught of monsters, and others. A few stages can be completed in a stealthy fashion.",3.7K,49,0.3806193525100979,2.9,"RPG,Shooter",PC,2010
Metro 2033,2010-03-16,328.0,"Metro 2033 is a first-person shooter with survival horror elements, based on the Russian book of the same name by Dmitry Glukhovsky. Most of the game takes place underground, but several times Artyom will have to venture outside, into the perpetual nuclear winter. Game progression is fairly linear, though areas may be explored more thoroughly for items and ammunition. Setpieces include a few on-rails sequences, missions that involve defending a location from an onslaught of monsters, and others. A few stages can be completed in a stealthy fashion.",3.7K,49,0.3806193525100979,2.7,"RPG,Shooter",X360,2010
Dragon Age: Origins - Awakening,2010-03-16,50.0,Dragon Age: Origins - Awakening is the only expansion for Dragon Age: Origins. There are both retail disc and downloadable editions available.,1K,14,0.0580212427606856,0.5,"RPG,Strategy",PC,2010
Assassin's Creed II,2009-11-17,1300.0,"Discover an intriguing and epic story of power, revenge and conspiracy set during a pivotal moment in history: the Italian Renaissance.

              Experience the freedom and immersion of an all new open world and mission structure with settings such as the rooftops and canals of beautiful Venice. Your options in combat, assassination and escape are vast, with many new weapons, settings and gameplay elements.",16K,140,1.0,7.8,"Adventure,Platform",PC,2009
Assassin's Creed II,2009-11-17,1300.0,"Discover an intriguing and epic story of power, revenge and conspiracy set during a pivotal moment in history: the Italian Renaissance.

              Experience the freedom and immersion of an all new open world and mission structure with settings such as the rooftops and canals of beautiful Venice. Your options in combat, assassination and escape are vast, with many new weapons, settings and gameplay elements.",16K,140,1.0,8.3,"Adventure,Platform",X360,2009
Crazy Taxi,1999-02-12,425.0,"Hey hey, come on over and have some fun with Crrrrrazy Taxi! Barrel through traffic packed streets, hurdle off parking garages, and Crazy Combo your way to Crazy Money in a wild frantic race to scare up the most fares. In Crazy Taxi, time is money, and only the Craziest Cabbies come out victorious.",4.8K,19,0.4931805634658281,3.0,"Arcade,Racing",BB,1999
Crazy Taxi,1999-02-12,425.0,"Hey hey, come on over and have some fun with Crrrrrazy Taxi! Barrel through traffic packed streets, hurdle off parking garages, and Crazy Combo your way to Crazy Money in a wild frantic race to scare up the most fares. In Crazy Taxi, time is money, and only the Craziest Cabbies come out victorious.",4.8K,19,0.4931805634658281,3.5,"Arcade,Racing",PS2,1999
Crazy Taxi,1999-02-12,425.0,"Hey hey, come on over and have some fun with Crrrrrazy Taxi! Barrel through traffic packed streets, hurdle off parking garages, and Crazy Combo your way to Crazy Money in a wild frantic race to scare up the most fares. In Crazy Taxi, time is money, and only the Craziest Cabbies come out victorious.",4.8K,19,0.4931805634658281,3.7,"Arcade,Racing",DC,1999
Crazy Taxi,1999-02-12,425.0,"Hey hey, come on over and have some fun with Crrrrrazy Taxi! Barrel through traffic packed streets, hurdle off parking garages, and Crazy Combo your way to Crazy Money in a wild frantic race to scare up the most fares. In Crazy Taxi, time is money, and only the Craziest Cabbies come out victorious.",4.8K,19,0.4931805634658281,3.0,"Arcade,Racing",PC,1999
Crazy Taxi,1999-02-12,425.0,"Hey hey, come on over and have some fun with Crrrrrazy Taxi! Barrel through traffic packed streets, hurdle off parking garages, and Crazy Combo your way to Crazy Money in a wild frantic race to scare up the most fares. In Crazy Taxi, time is money, and only the Craziest Cabbies come out victorious.",4.8K,19,0.4931805634658281,2.8,"Arcade,Racing",GC,1999
BioShock 2,2010-02-09,687.0,"BioShock 2 is the second game of the BioShock series and the sequel to BioShock. It continues the grand storyline of the underwater metropolis Rapture. BioShock 2 capitalizes and improves upon the high-quality effects, unique gameplay elements, and immersive atmosphere that defined the first game. It explores more brutal gameplay than its predecessor, with new enemies, weapons, Plasmids, and Gene Tonics.",9.1K,103,0.7972118755318209,6.1,"Adventure,RPG,Shooter",PS3,2010
BioShock 2,2010-02-09,687.0,"BioShock 2 is the second game of the BioShock series and the sequel to BioShock. It continues the grand storyline of the underwater metropolis Rapture. BioShock 2 capitalizes and improves upon the high-quality effects, unique gameplay elements, and immersive atmosphere that defined the first game. It explores more brutal gameplay than its predecessor, with new enemies, weapons, Plasmids, and Gene Tonics.",9.1K,103,0.7972118755318209,6.1,"Adventure,RPG,Shooter",X360,2010
Dante's Inferno,2010-02-04,321.0,"Dante's Inferno is an epic single player, third-person action adventure game inspired by ""Inferno"", part one of Dante Alighieri's classic Italian poem, ""The Divine Comedy."" Featuring nonstop action rendered at 60 frames-per-second, signature and upgradable weapons, attack combos and mana-fueled spells and the choice of punishing or absolving the souls of defeated enemies, it is a classic Medieval tale of the eternal conflict with sin and the resulting horrors of hell, adapted for a new generation and a new medium.",2.6K,40,0.3724963785236019,2.3,"Adventure,Brawler",PS3,2010
Dante's Inferno,2010-02-04,321.0,"Dante's Inferno is an epic single player, third-person action adventure game inspired by ""Inferno"", part one of Dante Alighieri's classic Italian poem, ""The Divine Comedy."" Featuring nonstop action rendered at 60 frames-per-second, signature and upgradable weapons, attack combos and mana-fueled spells and the choice of punishing or absolving the souls of defeated enemies, it is a classic Medieval tale of the eternal conflict with sin and the resulting horrors of hell, adapted for a new generation and a new medium.",2.6K,40,0.3724963785236019,2.3,"Adventure,Brawler",X360,2010
No More Heroes 2: Desperate Struggle,2010-01-26,608.0,"No More Heroes 2: Desperate Struggle continues the tale of punk anti-hero Travis Touchdown, the Japanese anime Otaku, and pro wrestling-obsessed assassin. Travis finds himself at the bottom of the UAA (United Assassins Association) rankings and must wage war to become the No. 1 assassin once again. The follow-up to the popular No More Heroes will offer fans infectious, fun gameplay that allows you to wield not just one, but two swords and face multiple bosses simultaneously in bigger-than-ever boss battles.",3.2K,68,0.7055383119699375,5.3,"Adventure,Brawler",WII,2010
Bayonetta,2009-10-29,1700.0,"A member of an ancient witch clan and possessing powers beyond the comprehension of mere mortals, Bayonetta faces-off against countless angelic enemies, many reaching epic proportions, in a game of 100% pure, unadulterated all-out action. Outlandish finishing moves are performed with balletic grace as Bayonetta flows from one fight to another. With magnificent over-the-top action taking place in stages that are a veritable theme park of exciting attractions, Bayonetta pushes the limits of the action genre, bringing to life its fast-paced, dynamic climax combat.",13K,614,1.0,8.4,"Brawler,Shooter",X360,2009
Bayonetta,2009-10-29,1700.0,"A member of an ancient witch clan and possessing powers beyond the comprehension of mere mortals, Bayonetta faces-off against countless angelic enemies, many reaching epic proportions, in a game of 100% pure, unadulterated all-out action. Outlandish finishing moves are performed with balletic grace as Bayonetta flows from one fight to another. With magnificent over-the-top action taking place in stages that are a veritable theme park of exciting attractions, Bayonetta pushes the limits of the action genre, bringing to life its fast-paced, dynamic climax combat.",13K,614,1.0,7.9,"Brawler,Shooter",PS3,2009
Tekken 6,2007-11-26,235.0,"Tekken 6 is a fighting game developed and published by Bandai Namco Games. It is the seventh main installment in the Tekken franchise. It was released in Japanese arcades on November 26, 2007 as the first game running on the PlayStation 3-based System 357 arcade board. The game received an update, subtitled Bloodline Rebellion, a year later.",2.3K,15,0.2726998409752226,2.0,Fighting,PSP,2007
Tekken 6,2007-11-26,235.0,"Tekken 6 is a fighting game developed and published by Bandai Namco Games. It is the seventh main installment in the Tekken franchise. It was released in Japanese arcades on November 26, 2007 as the first game running on the PlayStation 3-based System 357 arcade board. The game received an update, subtitled Bloodline Rebellion, a year later.",2.3K,15,0.2726998409752226,2.0,Fighting,X360,2007
Tekken 6,2007-11-26,235.0,"Tekken 6 is a fighting game developed and published by Bandai Namco Games. It is the seventh main installment in the Tekken franchise. It was released in Japanese arcades on November 26, 2007 as the first game running on the PlayStation 3-based System 357 arcade board. The game received an update, subtitled Bloodline Rebellion, a year later.",2.3K,15,0.2726998409752226,2.0,Fighting,PS3,2007
Left 4 Dead 2,2009-11-17,1100.0,"Left 4 Dead 2 is a cooperative first-person shooter video game, the sequel to Valve Corporation's Left 4 Dead. The Game builds upon cooperatively focused gameplay and Valve's proprietary Source engine, the same game engine used in the original Left 4 Dead. Set during the aftermath of an apocalyptic pandemic, Left 4 Dead 2 focuses on four new Survivors, fighting against hordes of the Infected, who develop severe psychosis and exhibit zombie-like tendencies. The Survivors must fight their way through five campaigns, interspersed with safe houses that act as checkpoints, with the goal of escape at each campaign's finale.",19K,279,1.0,8.4,Shooter,X360,2009
Left 4 Dead 2,2009-11-17,1100.0,"Left 4 Dead 2 is a cooperative first-person shooter video game, the sequel to Valve Corporation's Left 4 Dead. The Game builds upon cooperatively focused gameplay and Valve's proprietary Source engine, the same game engine used in the original Left 4 Dead. Set during the aftermath of an apocalyptic pandemic, Left 4 Dead 2 focuses on four new Survivors, fighting against hordes of the Infected, who develop severe psychosis and exhibit zombie-like tendencies. The Survivors must fight their way through five campaigns, interspersed with safe houses that act as checkpoints, with the goal of escape at each campaign's finale.",19K,279,1.0,8.4,Shooter,PC,2009
Braid,2008-08-06,380.0,"Braid is a puzzle-platformer, drawn in a painterly style, where you can manipulate the flow of time in strange and unusual ways. From a house in the city, journey to a series of worlds and solve puzzles to rescue an abducted princess. In each world, you have a different power to affect the way time behaves, and it is time's strangeness that creates the puzzles. The time behaviors include: the ability to rewind, objects that are immune to being rewound, time that is tied to space, parallel realities, time dilation, and perhaps more.


              Braid treats your time and attention as precious; there is no filler in this game. Every puzzle shows you something new and interesting about the game world.",3.5K,26,0.440961444981211,3.5,"Adventure,Indie,Platform,Strategy,Puzzle",PS3,2008
Braid,2008-08-06,380.0,"Braid is a puzzle-platformer, drawn in a painterly style, where you can manipulate the flow of time in strange and unusual ways. From a house in the city, journey to a series of worlds and solve puzzles to rescue an abducted princess. In each world, you have a different power to affect the way time behaves, and it is time's strangeness that creates the puzzles. The time behaviors include: the ability to rewind, objects that are immune to being rewound, time that is tied to space, parallel realities, time dilation, and perhaps more.


              Braid treats your time and attention as precious; there is no filler in this game. Every puzzle shows you something new and interesting about the game world.",3.5K,26,0.440961444981211,3.5,"Adventure,Indie,Platform,Strategy,Puzzle",X360,2008
New Super Mario Bros. Wii,2009-11-12,859.0,"New Super Mario Bros. Wii is a side-scrolling 2.5D Mario platformer for the Wii and the tenth game in the Super Mario series. In addition to the single-player experience, New Super Mario Bros. Wii also features a multiplayer mode for up to four players. This is the first Super Mario game to feature co-op and vs. modes at the same time since Mario Bros. It features more items, new levels, and more enemies than the DS predecessor. The game introduces two new power-ups, the Propeller Mushroom and the Penguin Suit, which turn characters into their propeller and penguin forms, respectively.",13K,85,0.9968049506285795,7.5,"Adventure,Platform",WII,2009
Call of Duty: Modern Warfare 2,2009-11-10,1000.0,"Call of Duty: Modern Warfare 2 is a first-person shooter video game developed by Infinity Ward and published by Activision for the Xbox 360 and PlayStation 3 video game consoles and the Microsoft Windows operating system. Officially announced on February 11, 2009, the game was released worldwide on November 10, 2009. It is the sixth installment of the Call of Duty series and the direct sequel to Call of Duty 4: Modern Warfare, continuing the same storyline, with Call of Duty: Modern Warfare 3 set to end the storyline.",14K,34,1.0,7.8,Shooter,PC,2009
Call of Duty: Modern Warfare 2,2009-11-10,1000.0,"Call of Duty: Modern Warfare 2 is a first-person shooter video game developed by Infinity Ward and published by Activision for the Xbox 360 and PlayStation 3 video game consoles and the Microsoft Windows operating system. Officially announced on February 11, 2009, the game was released worldwide on November 10, 2009. It is the sixth installment of the Call of Duty series and the direct sequel to Call of Duty 4: Modern Warfare, continuing the same storyline, with Call of Duty: Modern Warfare 3 set to end the storyline.",14K,34,1.0,8.3,Shooter,X360,2009
Call of Duty: Modern Warfare 2,2009-11-10,1000.0,"Call of Duty: Modern Warfare 2 is a first-person shooter video game developed by Infinity Ward and published by Activision for the Xbox 360 and PlayStation 3 video game consoles and the Microsoft Windows operating system. Officially announced on February 11, 2009, the game was released worldwide on November 10, 2009. It is the sixth installment of the Call of Duty series and the direct sequel to Call of Duty 4: Modern Warfare, continuing the same storyline, with Call of Duty: Modern Warfare 3 set to end the storyline.",14K,34,1.0,8.3,Shooter,PS3,2009
Machinarium,2009-10-16,222.0,Machinarium is award-winning independent adventure game developed by the makers of Samorost and Botanicula. A little robot who’s been thrown out to the scrap yard behind the city must return and confront the Black Cap Brotherhood and save his robot-girl friend.,1.6K,18,0.2576143178574443,2.0,"Adventure,Indie,Puzzle,Point-and-Click",PC,2009
Dragon Age: Origins,2009-11-03,712.0,"Dragon Age: Origins is a third-person role-playing game described as a spiritual successor to Baldur's Gate and Neverwinter Nights franchises. Players create their own character by customizing gender and appearance as well as choosing a race and class. Combat is in real time with the ability to pause at any moment: tactical options include an editor which allows the player to give the AI detailed instructions on how to behave in every possible situation. Although the main storyline is the same for every character created, the game features six unique prologues, two for each race. Dragon Age: Origins received critical acclaim upon release, with praise mostly directed at its story, setting, characters, music and combat system.",6.1K,148,0.8262224969121638,7.0,RPG,PC,2009
Dragon Age: Origins,2009-11-03,712.0,"Dragon Age: Origins is a third-person role-playing game described as a spiritual successor to Baldur's Gate and Neverwinter Nights franchises. Players create their own character by customizing gender and appearance as well as choosing a race and class. Combat is in real time with the ability to pause at any moment: tactical options include an editor which allows the player to give the AI detailed instructions on how to behave in every possible situation. Although the main storyline is the same for every character created, the game features six unique prologues, two for each race. Dragon Age: Origins received critical acclaim upon release, with praise mostly directed at its story, setting, characters, music and combat system.",6.1K,148,0.8262224969121638,7.0,RPG,PS3,2009
Dragon Age: Origins,2009-11-03,712.0,"Dragon Age: Origins is a third-person role-playing game described as a spiritual successor to Baldur's Gate and Neverwinter Nights franchises. Players create their own character by customizing gender and appearance as well as choosing a race and class. Combat is in real time with the ability to pause at any moment: tactical options include an editor which allows the player to give the AI detailed instructions on how to behave in every possible situation. Although the main storyline is the same for every character created, the game features six unique prologues, two for each race. Dragon Age: Origins received critical acclaim upon release, with praise mostly directed at its story, setting, characters, music and combat system.",6.1K,148,0.8262224969121638,6.6,RPG,X360,2009
Borderlands,2009-10-20,484.0,"With its addictive action, frantic first-person shooter combat, massive arsenal of weaponry, RPG elements and four-player co-op, Borderlands is a breakthrough experience that challenges all the conventions of modern shooters. Borderlands places you in the role of a mercenary on the lawless and desolate planet of Pandora, hell-bent on finding a legendary stockpile of powerful alien technology known as The Vault.


              Role Playing Shooter (RPS) - combines frantic first-person shooting action with accessible role-playing character progression.


              Co-Op Frenzy - Fly solo in single player or drop in and out with up to 4 Player Co-Op online for a maniacal multiplayer experience.


              Bazillions of Guns - Gun lust fulfilled with rocket-launching shotguns, enemy-torching revolvers, SMGs that fire lightning rounds, and tons more.


              Radical Art Style - New visual style combines traditional rendering techniques with hand-drawn textures to create a unique and eye-catching spin on the First Person genre.


              Intense Vehicular Combat - Get behind the wheel and engage in intense vehicle-to-vehicle combat.",9.1K,98,0.5616456299234371,4.0,"RPG,Shooter",PC,2009
Borderlands,2009-10-20,484.0,"With its addictive action, frantic first-person shooter combat, massive arsenal of weaponry, RPG elements and four-player co-op, Borderlands is a breakthrough experience that challenges all the conventions of modern shooters. Borderlands places you in the role of a mercenary on the lawless and desolate planet of Pandora, hell-bent on finding a legendary stockpile of powerful alien technology known as The Vault.


              Role Playing Shooter (RPS) - combines frantic first-person shooting action with accessible role-playing character progression.


              Co-Op Frenzy - Fly solo in single player or drop in and out with up to 4 Player Co-Op online for a maniacal multiplayer experience.


              Bazillions of Guns - Gun lust fulfilled with rocket-launching shotguns, enemy-torching revolvers, SMGs that fire lightning rounds, and tons more.


              Radical Art Style - New visual style combines traditional rendering techniques with hand-drawn textures to create a unique and eye-catching spin on the First Person genre.


              Intense Vehicular Combat - Get behind the wheel and engage in intense vehicle-to-vehicle combat.",9.1K,98,0.5616456299234371,4.0,"RPG,Shooter",PS3,2009
Borderlands,2009-10-20,484.0,"With its addictive action, frantic first-person shooter combat, massive arsenal of weaponry, RPG elements and four-player co-op, Borderlands is a breakthrough experience that challenges all the conventions of modern shooters. Borderlands places you in the role of a mercenary on the lawless and desolate planet of Pandora, hell-bent on finding a legendary stockpile of powerful alien technology known as The Vault.


              Role Playing Shooter (RPS) - combines frantic first-person shooting action with accessible role-playing character progression.


              Co-Op Frenzy - Fly solo in single player or drop in and out with up to 4 Player Co-Op online for a maniacal multiplayer experience.


              Bazillions of Guns - Gun lust fulfilled with rocket-launching shotguns, enemy-torching revolvers, SMGs that fire lightning rounds, and tons more.


              Radical Art Style - New visual style combines traditional rendering techniques with hand-drawn textures to create a unique and eye-catching spin on the First Person genre.


              Intense Vehicular Combat - Get behind the wheel and engage in intense vehicle-to-vehicle combat.",9.1K,98,0.5616456299234371,4.0,"RPG,Shooter",X360,2009
Mario & Luigi: Bowser's Inside Story,2009-09-14,837.0,"Mario & Luigi: Bowser's Inside Story is the third game in the Mario & Luigi series of games. Players control Mario and Luigi simultaneously in the side-scrolling platform environment of Bowser's body, while also controlling the Koopa King himself in the top-down world of the Mushroom Kingdom. Similar to games like Earthbound, enemy encounters are seen as actual enemies that players can avoid or attempt to strike early. The actual battles are a combination of turn-based menu attacks, and timed reactions to enemies during battle. By watching the way an enemy reacts, you can anticipate their attack and avoid it or counterattack.",6.6K,95,0.971275603813878,8.5,"RPG,Platform",DS,2009
Uncharted 2: Among Thieves,2009-10-13,1400.0,"In the sequel to Drake's Fortune, Nathan Drake comes across a map that showcases the location of Marco Polo's missing ships. It takes him on a journey to find the infamous Cintamani Stone, and uncover the truth behind it.",12K,96,1.0,8.4,"Adventure,Platform,Shooter",PS3,2009
Resident Evil 4,2005-01-11,2300.0,"Resident Evil 4 is the sixth installment of the Resident Evil series praised as a revolution from the core games. It was the first title to implement a third-person view rather than the original fixed camera angles its predecessors had. Its mechanics have been completely revamped to incorporate fast-paced gunplay, quick controls and shoot-outs involving massive crowds of enemies in more open areas. The brand-new AI system and open environments allow enemies to work together to capture and corner Leon. Enemies are now humans, which allows them to climb up ladders, open doors, and use weapons throughout the game. Resident Evil 4 had one of the most tormented developments in any game, four proposed versions of the game were discarded by the developers before the finished product was released.",14K,360,1.0,8.3,Shooter,IOS,2005
Resident Evil 4,2005-01-11,2300.0,"Resident Evil 4 is the sixth installment of the Resident Evil series praised as a revolution from the core games. It was the first title to implement a third-person view rather than the original fixed camera angles its predecessors had. Its mechanics have been completely revamped to incorporate fast-paced gunplay, quick controls and shoot-outs involving massive crowds of enemies in more open areas. The brand-new AI system and open environments allow enemies to work together to capture and corner Leon. Enemies are now humans, which allows them to climb up ladders, open doors, and use weapons throughout the game. Resident Evil 4 had one of the most tormented developments in any game, four proposed versions of the game were discarded by the developers before the finished product was released.",14K,360,1.0,7.8,Shooter,PC,2005
